No,Need,Library,Category,Stack,Install,Key Components,Dependencies,Docs URL,License
16,Rich table/data grid,Kibo UI,Data,React + shadcn,npx shadcn@latest add @kibo-ui/table,table/tree/contribution-graph,TanStack Table,https://www.kibo-ui.com/docs,MIT
17,Media (video/image crop/stories),Kibo UI,Media,React + shadcn,npx shadcn@latest add @kibo-ui/<name>,video-player/image-crop/image-zoom/stories/reel/deck,per-component,https://www.kibo-ui.com/docs,MIT
18,Lightweight editor,Kibo UI,Editor,React + shadcn,npx shadcn@latest add @kibo-ui/editor,editor,tiptap-family,https://www.kibo-ui.com/docs,MIT
19,Utilities (qr/color/rating/dropzone),Kibo UI,Forms,React + shadcn,npx shadcn@latest add @kibo-ui/<name>,qr-code/color-picker/rating/dropzone/combobox/calendar,per-component,https://www.kibo-ui.com/docs,MIT
20,Advanced date/time inputs,ui-x,Forms,React + Radix + shadcn,npx shadcn@latest add https://ui-x.junwen-k.dev/r/<name>.json,date-picker/date-time-field/date-time-range-field/time-field/calendar,radix,https://ui-x.junwen-k.dev,MIT
21,Combobox/sortable/password/virtualizer,ui-x,Forms,React + Radix + shadcn,npx shadcn@latest add https://ui-x.junwen-k.dev/r/<name>.json,combobox/sortable/password-input/virtualizer/timeline,radix,https://ui-x.junwen-k.dev,MIT
22,File dropzone,ui-x,Forms,React + shadcn,npx shadcn@latest add https://ui-x.junwen-k.dev/r/dropzone.json,dropzone/file-list,radix,https://ui-x.junwen-k.dev,MIT
23,Product variant selector,stackzero/ui,Ecommerce,React + shadcn,npx shadcn@latest add https://ui.stackzero.co/r/variant-selector.json,variant-selector/variant-color-selector,motion,https://ui.stackzero.co/docs,MIT
24,Ratings (star/face/like/upvote),stackzero/ui,Ecommerce,React + shadcn,npx shadcn@latest add https://ui.stackzero.co/r/rating-star.json,rating-star/rating-face/rating-like/rating-upvote,motion,https://ui.stackzero.co/docs,MIT
25,Price/quantity/cart/reviews,stackzero/ui,Ecommerce,React + shadcn,npx shadcn@latest add https://ui.stackzero.co/r/<name>.json,price-format/quantity-input/carts/reviews/product-card,motion,https://ui.stackzero.co/docs,MIT
26,Product image gallery,stackzero/ui,Ecommerce,React + shadcn,npx shadcn@latest add https://ui.stackzero.co/r/image-viewer.json,image-carousel/image-viewer,motion,https://ui.stackzero.co/docs,MIT
27,Marketing section blocks,bundui,Blocks,React + shadcn,View Code / npx shadcn@latest add https://bundui.io/r/<block>.json,Hero/Pricing/Team/Testimonials/CTA/Stats/Features/Footer,motion,https://bundui.io,MIT
28,Dashboard/ecommerce/real-estate blocks,bundui,Blocks,React + shadcn,View Code / shadcn registry,Dashboard UI/Ecommerce/Real Estate/Navbars/Banners,motion,https://bundui.io,MIT
29,Panda CSS / multi-framework primitives,Park UI,Primitives,Ark UI + Panda (React/Solid/Vue),npx @park-ui/cli components add <name>,button/select/combobox/dialog/date-picker/tabs,panda-css; ark-ui,https://park-ui.com/docs/introduction,MIT
